,client_id,activity,frequency,monetary,activity_score,monetary_score,frequency_score,AFM_score,segment
0,768805383,11,3,1144,4,1,3,34,loyal_customers
1,818770008,11,2,1291,4,1,1,14,at risk
2,713982108,11,0,1887,4,1,1,14,at risk
3,769911858,8,1,1171,3,1,1,13,at risk
4,709106358,11,0,816,4,1,1,14,at risk
5,713061558,11,2,1088,4,1,1,14,at risk
6,810347208,11,3,1330,4,1,3,34,loyal_customers
7,818906208,10,2,1538,4,1,1,14,at risk
8,710930508,10,0,1350,4,1,1,14,at risk
9,719661558,9,3,1441,3,1,3,33,need_attention
10,708790833,9,2,1201,3,1,1,13,at risk
11,710821833,10,3,1314,4,1,3,34,loyal_customers
12,710599683,6,0,1539,1,1,1,11,hibernating
13,816082233,11,3,1311,4,1,3,34,loyal_customers
14,712396908,10,2,1570,4,1,1,14,at risk
15,714885258,11,2,1348,4,1,1,14,at risk
16,709967358,10,3,1671,4,1,3,34,loyal_customers
17,753327333,8,1,1028,3,1,1,13,at risk
18,806160108,10,3,1336,4,1,3,34,loyal_customers
19,709327383,11,2,1207,4,1,1,14,at risk
20,806165208,10,0,1178,4,1,1,14,at risk
21,708508758,9,3,692,3,1,3,33,need_attention
22,784725333,10,1,931,4,1,1,14,at risk
23,811604133,9,2,1126,3,1,1,13,at risk
24,789124683,10,3,1110,4,1,3,34,loyal_customers
25,771071958,11,2,1051,4,1,1,14,at risk
26,720466383,11,2,1197,4,1,1,14,at risk
27,804424383,9,2,1904,3,1,1,13,at risk
28,718813833,10,2,1052,4,1,1,14,at risk
29,806624208,12,0,1045,5,1,1,15,cant_loose
30,778348233,10,3,1038,4,1,3,34,loyal_customers
31,712991808,7,1,1596,2,1,1,12,hibernating
32,709029408,11,2,1589,4,1,1,14,at risk
33,788658483,10,3,1411,4,1,3,34,loyal_customers
34,787937058,10,2,1291,4,1,1,14,at risk
35,715318008,10,1,1407,4,1,1,14,at risk
36,713962233,10,3,1877,4,1,3,34,loyal_customers
37,785432733,9,3,966,3,1,3,33,need_attention
38,715190283,9,2,1464,3,1,1,13,at risk
39,708300483,8,3,704,3,1,3,33,need_attention
40,827111283,10,2,1109,4,1,1,14,at risk
41,758551608,11,0,1347,4,1,1,14,at risk
42,773146383,10,3,1756,4,1,3,34,loyal_customers
43,778493808,10,1,1756,4,1,1,14,at risk
44,720572508,9,3,1042,3,1,3,33,need_attention
45,712661433,10,3,1444,4,1,3,34,loyal_customers
46,789172683,10,0,1741,4,1,1,14,at risk
47,738406533,10,2,1719,4,1,1,14,at risk
48,799723908,9,3,1217,3,1,3,33,need_attention
49,771490833,11,1,1140,4,1,1,14,at risk
50,720756708,9,2,1878,3,1,1,13,at risk
51,779471883,9,1,705,3,1,1,13,at risk
52,711525033,8,2,1946,3,2,1,13,at risk
53,712813458,10,0,1414,4,1,1,14,at risk
54,714374133,9,3,602,3,1,3,33,need_attention
55,717891558,8,2,1052,3,1,1,13,at risk
56,716632758,10,0,1295,4,1,1,14,at risk
57,768563658,10,3,1424,4,1,3,34,loyal_customers
58,711427458,11,2,1359,4,1,1,14,at risk
59,714091983,8,3,1168,3,1,3,33,need_attention
60,787584108,10,3,1097,4,1,3,34,loyal_customers
61,712030833,8,4,691,3,1,5,53,potential_loyalists
62,711481533,9,3,1316,3,1,3,33,need_attention
63,710082708,8,2,1276,3,1,1,13,at risk
64,708155733,10,2,1289,4,1,1,14,at risk
65,788979258,11,4,1293,4,1,5,54,champions
66,807986133,9,3,1353,3,1,3,33,need_attention
67,788730933,9,3,1132,3,1,3,33,need_attention
68,711314058,10,2,1670,4,1,1,14,at risk
69,717975333,10,2,837,4,1,1,14,at risk
70,715971108,10,3,1550,4,1,3,34,loyal_customers
71,720096558,9,3,1540,3,1,3,33,need_attention
72,719580033,10,3,1256,4,1,3,34,loyal_customers
73,820582308,10,2,1394,4,1,1,14,at risk
74,789973308,9,3,1341,3,1,3,33,need_attention
75,712876233,9,2,1289,3,1,1,13,at risk
76,804595158,8,2,1112,3,1,1,13,at risk
77,714826758,8,2,2339,3,2,1,13,at risk
78,779058108,11,2,1468,4,1,1,14,at risk
79,710790258,9,2,1334,3,1,1,13,at risk
80,715623483,8,0,1457,3,1,1,13,at risk
81,715156383,10,2,1603,4,1,1,14,at risk
82,711013983,8,3,615,3,1,3,33,need_attention
83,755420433,9,3,1068,3,1,3,33,need_attention
84,794543958,8,2,1590,3,1,1,13,at risk
85,716396358,9,0,1531,3,1,1,13,at risk
86,715398033,10,1,1212,4,1,1,14,at risk
87,711743883,10,3,1237,4,1,3,34,loyal_customers
88,719720058,9,1,1413,3,1,1,13,at risk
89,778992108,9,3,1516,3,1,3,33,need_attention
90,717539808,10,2,1276,4,1,1,14,at risk
91,714070758,9,0,1564,3,1,1,13,at risk
92,714107958,8,3,1465,3,1,3,33,need_attention
93,789140283,8,1,1286,3,1,1,13,at risk
94,715550508,11,2,1312,4,1,1,14,at risk
95,719712633,8,3,1673,3,1,3,33,need_attention
96,772629333,8,2,1313,3,1,1,13,at risk
97,720336708,9,2,1609,3,1,1,13,at risk
98,802013583,10,0,1158,4,1,1,14,at risk
99,711887583,9,3,836,3,1,3,33,need_attention
