Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Transaction_Count_per_Contact,Loyal_Customer,Creditworthiness,Cr_Util_Rate
0,2,0,3,0,1,3,0,2,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,21.0,1,5.515719801434087,0.061224489795918366
0,2,1,5,1,0,1,0,2,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,16.5,1,2.4224806201550386,0.10465116279069768
0,2,0,3,1,1,4,0,2,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,10.0,1,29.256875365710943,0.0
0,1,1,4,0,1,1,0,1,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,20.0,0,6.0368246302444915,0.7597343797162692
0,1,0,3,0,1,3,0,0,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0.0,0,14.843087362171332,0.0
0,1,0,2,1,1,2,0,2,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,12.0,1,12.468827930174564,0.3109725685785536
0,2,0,4,1,1,5,2,3,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,10.333333333333334,1,3.7663692200718506,0.06559276857109746
0,0,0,0,0,1,3,1,1,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,36.0,0,2.4070699081874762,0.0480038513118531
0,1,0,3,0,0,3,0,2,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,12.0,1,3.1317108088761634,0.11260737294201861
0,2,0,2,1,0,4,0,2,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,16.0,1,8.579272477693891,0.14387439945092656
0,1,0,5,0,1,5,0,1,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,42.0,0,19.26496739774748,0.21739774748073504
0,4,0,1,1,1,2,0,3,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,8.666666666666666,1,5.497526113249038,0.17449147883452445
0,3,0,1,1,0,4,0,2,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,8.5,0,8.509914049868096,0.0
0,1,0,3,1,1,3,0,1,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,33.0,0,8.19000819000819,0.19492219492219492
0,3,1,2,1,1,1,0,3,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,9.666666666666666,1,8.210180623973727,0.2791461412151067
0,1,0,4,1,1,4,0,2,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,13.5,1,23.618327822390174,0.2295701464336325
0,2,0,4,1,0,4,0,2,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,13.5,1,3.293048374880627,0.07778180261468041
0,1,0,3,1,1,4,0,1,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,21.0,0,7.388252678241596,0.095382342076099
0,3,0,1,0,1,2,0,3,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,10.0,1,15.659254619480112,0.7882868775446289
0,2,1,2,1,1,2,0,2,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,10.5,1,3.455425017277125,0.07995853489979267
